Navn,Årsmodell,Kilometer,Pris
Volkswagen Amarok 2.0 180 TDI Highline DC 4M-perm. aut Ryggekamera/Parkv.,2016,183 311,Solgt
"Volkswagen Amarok 3.0 204 TDI Comfortline DC 4M-perm aut Cruise,PDC,Krok",2018,52 000,399 000
Volkswagen Amarok 240hk V6 TDI Aventura Krok/ Kamera/ Webasto/ Harman/ ++,2023,18 000,699 900
Volkswagen Amarok 240hk V6 TDI Pan Americana Webasto|360|LED|ACC|OppvFron,2023,18 000,799 000
Volkswagen Amarok - Highline - Artic Trucks - Fjernbetjent webasto - Dab,2018,294 000,269 000
Volkswagen Amarok,2011,167 000,229 000
"Volkswagen Amarok 2.0TDI 180Hk 4Motion Ultimate Webasto,Planlokk,Xenon++",2016,185 000,239 000
Volkswagen Amarok 3.0 TDI V6 4-MOTION DSG AUTOMAT EUOK 2025 PÅKOSTET,2017,107 000,349 000
Volkswagen Amarok AMAROK 2.0-140 D 4MOTION,2014,226 000,146 476
Volkswagen Amarok 3.0 224 TDI Highline DC 4M-perm aut Webasto/krok/skinn,2017,146 500,359 900
Volkswagen Amarok | V6 | Webasto | R-Kam | Cruise | Understellsbehandlet,2017,139 500,399 900
"Volkswagen Amarok 3,0 TDI 258hk 4Motion aut",2020,68 500,435 476
Volkswagen Amarok 3.0 V6 224hk Aventura / H.feste / Skinn / Webasto ++,2017,172 687,339 900
Volkswagen Amarok 165.000kr i Mva fradrag/V6/Aventura/Harman/Kamera/Web,2023,50,959 999
Volkswagen Amarok dc hig. 180 bmt aut 5/v Lakkert Kapell,2014,124 979,269 000
Volkswagen Amarok 3.0 224 TDI Aventura DC 4M-perm aut,2017,160 000,326 422
Volkswagen Amarok AMAROK 3.0-224 D 4MOTION,2018,112 000,319 000
Volkswagen Amarok DC 3.0 TDI 224HK 4M AUTOMAT HIGHLINE | SKINN | R.KAM,2016,111 030,349 000
Volkswagen Amarok AMAROK 3.0-224 D 4MOTION,2018,173 000,330 476
Volkswagen Amarok 3.0 TDI V6 4WD HIGHLINE | CRUISE | NAVI | R.KAMERA+++,2018,215 200,248 476
"Volkswagen Amarok 3,0 V6/HIGHLINE/224HK/WEBASTO/KAMERA/GODT UTSTYRT",2017,138 378,299 000
"Volkswagen Amarok avent.258 tdi aut vare Webasto, EL-Skinn, Garanti,",2019,119 595,419 000
"Volkswagen Amarok ledbar, frontbøyle, legion varsellys, plantrekk,++",2019,149 562,419 900
Volkswagen Amarok 3.0TDI V6 320HK 4M CRUISE WEBASTO KROK NAVI LED GARANTI,2018,162 000,348 800
"Volkswagen Amarok 3,0TDI V6 224HK 4X4 DSG HIGHLINE /NY EU/WEBASTO/KAMERA",2018,120 000,399 990
"Volkswagen Amarok 2,0tdi-Man-4WD-Lavserie-AC-Krok-Hardtop",2013,224 374,179 000
Volkswagen Amarok 3.0TDI V6 4MOTION DOBBELKABIN NY EU. NY SERVICE.,2018,38 000,418 800
Volkswagen Amarok TDI 3.0 258 HK 4MOTION/Aventura/DAB/Navi/R.Kam/H.Feste,2019,242 000,319 000
Volkswagen Amarok aventura 240 tdi vare,2023,23 000,699 000
Volkswagen Amarok 3.0 204 TDI Highline DC 4M-perm aut /WEBASTO/HENGERFEST,2020,21 074,489 900
Volkswagen Amarok 2.0 179HK / 4x4 / Krok / R.Kamera / Automat / Cruise ++,2015,232 000,219 000
"Volkswagen Amarok 180HK,AUT,5-SETER,ULTIMATE- MYE UTSTYR!",2016,178 000,399 000
Volkswagen Amarok AMAROK 2.0-179 D 4MOTION Artictruck,2013,270 000,179 476
Volkswagen Amarok 3.0 224 TDI Highline DC 4M-perm aut,2017,114 500,366 476
Volkswagen Amarok 3.0TDI 224HK V6 DC Highline Kamera Krok Webasto EU05.25,2017,162 100,299 000
"Volkswagen Amarok 2,0TDI-163HK-4X4-5 SETER-MANUELL-KROK-HØY-LAV-SPERRE ++",2012,180 200,229 900
Volkswagen Amarok 240hk V6 TDI Aventura 360/Matrix/Webasto/Hengerfeste,2023,14 300,759 900
"Volkswagen Amarok 3,0 TDI 258hk 4Motion aut",2020,69 500,469 476
Volkswagen Amarok 3.0 224 TDI Aventura DC 4M-perm aut,2017,127 000,360 476
"Volkswagen Amarok 2,0TD.140HK.EU2026.Hist.Lavserie.Outlet.2 eiere.Se her!",2014,193 000,159 000
Volkswagen Amarok 3.0 224 TDI Aventura DC 4M-perm aut,2017,102 500,341 476
Volkswagen Amarok 2.0 TDI//4x4//MANUELL//HARDTOP//KROK//MULTIRATT//DAB/++,2015,152 000,219 999
Volkswagen Amarok 3.0 258 TDI Aventura DC 4M-perm aut,2019,54 000,481 476
Volkswagen Amarok AMAROK 3.0-224 D 4MOTION,2018,134 000,336 476
"Volkswagen Amarok 3,0 V6 258hk 61.000 KM!",2018,61 000,479 000
Volkswagen Amarok 2.0 TDI 180hk Aut. Ultimate|5-seters PERSONBIL|Webasto,2015,126 500,449 900
Volkswagen Amarok aventura 240 tdi vare,2023,19 300,699 000
Volkswagen Amarok AMAROK V6 // 3.0-224 Hk // AVENTURA,2017,190 000,286 422
"Volkswagen Amarok aventura 240 tdi vare ACC,keyless,ryggekamera,el.seter",2023,19 000,659 000
Volkswagen Amarok 3.0L D 258HK AVENTURA/PLANTREKK/WEBASTO/5SETER/3500KG,2019,86 000,779 900
"Volkswagen Amarok 240hk V6 TDI Aventura HardTop,360kam,Matrix+++",2023,21 500,699 000
"Volkswagen Amarok 3,0D 258HK Aventura / Skinn / Sjekk denne!",2020,145 000,399 900
Volkswagen Amarok 3.0TDI/224HK/AVENTURA/4M/AUT/DAB/KROK/R.KAMERA/SKINN,2018,206 500,349 000
"Volkswagen Amarok 3,0 TDI,V6,204HK,4-MOTION,AUT,KROK,SKINN,P/VARMER,KLIMA",2018,101 000,349 000
Volkswagen Amarok 3.0 TDI 224hk 4Motion 5-seters PERSONBIL|Aventura|Lazer,2017,116 000,599 900
Volkswagen Amarok 3.0 TDI 224hk 4Motion Aventura|Rolltop|Lazer Grillkit++,2017,116 000,399 900
